City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
37,jamestown,42.097,-79.2353,22.64,80,100,11.5,US,2024-01-04 21:45:43
38,peace river,56.2501,-117.286,8.91,85,100,8.05,CA,2024-01-04 21:45:45
39,heber springs,35.4915,-92.0313,41.05,59,16,5.97,US,2024-01-04 21:45:45
40,kodiak,57.79,-152.4072,35.11,93,100,6.91,US,2024-01-04 21:45:46
41,college,64.8569,-147.8028,7.77,69,75,11.5,US,2024-01-04 21:45:46
42,poyang,28.9924,116.6675,48.83,63,50,5.08,CN,2024-01-04 21:45:46
43,west island,-12.1568,96.8225,78.78,94,75,6.91,CC,2024-01-04 21:45:46
44,albany,42.6001,-73.9662,27.75,56,11,8.01,US,2024-01-04 21:43:41
45,revda,56.801,59.9303,9.46,94,100,4.92,RU,2024-01-04 21:45:47
46,bathsheba,13.2167,-59.5167,83.01,69,20,16.11,BB,2024-01-04 21:45:47
47,naze,28.3667,129.4833,52.72,67,11,0.58,JP,2024-01-04 21:45:47
48,minas de marcona,-15.2119,-75.1103,68.97,68,57,12.73,PE,2024-01-04 21:45:47
49,coquimbo,-29.9533,-71.3436,69.53,68,20,11.5,CL,2024-01-04 21:45:48
50,bredasdorp,-34.5322,20.0403,65.8,89,98,9.53,ZA,2024-01-04 21:45:48
51,mount isa,-20.7333,139.5,80.37,74,40,0.0,AU,2024-01-04 21:45:48
52,harnosand,62.6323,17.9379,3.2,95,99,8.5,SE,2024-01-04 21:45:48
53,williston,48.147,-103.618,27.81,63,14,5.35,US,2024-01-04 21:45:29
54,pemba,-12.974,40.5178,76.8,88,100,4.23,MZ,2024-01-04 21:45:49
55,tazovsky,67.4667,78.7,-8.64,88,100,16.04,RU,2024-01-04 21:45:16
56,mokhsogollokh,61.4681,128.9203,-31.77,99,99,1.74,RU,2024-01-04 21:45:49
57,saipan,15.1355,145.701,79.5,89,40,6.91,MP,2024-01-04 21:45:49
58,port elizabeth,-33.918,25.5701,66.4,90,75,12.66,ZA,2024-01-04 21:45:50
